# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,98,"['3d', '2d']","['4s', '7d']","['8h', 'Ad']",,,1,1
0,Pre-Flop,1,0,0,DISCARD,0,"['3d', '2d']","['4s', '7d']","['8h', 'Ad']",,,2,2
0,Pre-Flop,1,0,0,FOLD,0,"['3d', '2d']","['4s', '7h']","['8h', 'Ad']",,7d,2,2
1,Pre-Flop,1,2,-2,RAISE,18,"['As', '4s']","['5h', '3s']","['8s', '5s']",,,1,1
1,Pre-Flop,0,2,-2,RAISE,80,"['As', '4s']","['5h', '3s']","['8s', '5s']",,,2,2
1,Pre-Flop,1,2,-2,FOLD,0,"['As', '4s']","['5h', '3s']","['8s', '5s']",,,20,20
2,Pre-Flop,0,22,-22,RAISE,98,"['6s', '3d']","['5s', 'Ad']","['Ah', '8s']",,,1,1
2,Pre-Flop,1,22,-22,FOLD,0,"['6s', '3d']","['5s', 'Ad']","['Ah', '8s']",,,2,2
3,Pre-Flop,1,24,-24,FOLD,0,"['6h', '5s']","['3h', '2s']","['2d', 'Ad']",,,1,1
4,Pre-Flop,0,25,-25,RAISE,98,"['7d', '9d']","['2d', '3s']","['9h', '6d']",,,1,1
4,Pre-Flop,1,25,-25,CALL,0,"['7d', '9d']","['2d', '3s']","['9h', '6d']",,,2,2
4,Flop,0,25,-25,CHECK,0,"['7d', '9d']","['2d', '3s']","['9h', '6d', 'Ah']",,,100,100
4,Flop,1,25,-25,DISCARD,0,"['7d', '9d']","['2d', '3s']","['9h', '6d', 'Ah']",,,100,100
4,Flop,1,25,-25,CHECK,0,"['7d', '9d']","['8d', '3s']","['9h', '6d', 'Ah']",,2d,100,100
4,Turn,0,25,-25,CHECK,0,"['7d', '9d']","['8d', '3s']","['9h', '6d', 'Ah', '9s']",,2d,100,100
4,Turn,1,25,-25,FOLD,0,"['7d', '9d']","['8d', '3s']","['9h', '6d', 'Ah', '9s']",,2d,100,100
5,Pre-Flop,1,125,-125,CALL,0,"['2d', '4h']","['9h', '8s']","['5s', '8h']",,,1,1
5,Pre-Flop,0,125,-125,RAISE,98,"['2d', '4h']","['9h', '8s']","['5s', '8h']",,,2,2
5,Pre-Flop,1,125,-125,FOLD,0,"['2d', '4h']","['9h', '8s']","['5s', '8h']",,,2,2
6,Pre-Flop,0,127,-127,RAISE,98,"['Ah', '8h']","['5s', 'As']","['5d', '2s']",,,1,1
6,Pre-Flop,1,127,-127,FOLD,0,"['Ah', '8h']","['5s', 'As']","['5d', '2s']",,,2,2
7,Pre-Flop,1,129,-129,CALL,0,"['3h', '4d']","['7s', '6d']","['5s', '2s']",,,1,1
7,Pre-Flop,0,129,-129,RAISE,98,"['3h', '4d']","['7s', '6d']","['5s', '2s']",,,2,2
7,Pre-Flop,1,129,-129,CALL,0,"['3h', '4d']","['7s', '6d']","['5s', '2s']",,,2,2
